question,answer,correctFeedback,incorrectFeedback,hint
教育科技 (Educational Technology) 的主要目標是促進學習並提升什麼？,績效,完全正確！教育科技的核心不在於硬體，而在於解決問題並提升人類績效 (Performance)。,答錯了。提示：不僅是為了學習，還為了在工作或任務表現上更好。,重點在於「結果」的改善，兩個字。
ADDIE 教學設計模型中，第一個「A」代表什麼階段？(請輸入中文),分析,答對了！Analysis (分析) 是所有設計的基礎，先了解需求和學習者特徵。,不對喔。ADDIE 是分析、設計、發展、執行、評鑑。第一個 A 是什麼？,在開始設計課程之前，你需要先了解現況和需求。
強調透過「刺激—反應」的連結與增強作用來學習的是哪一種理論？,行為主義,Bingo！行為主義 (Behaviorism) 如史金納的理論，強調外在獎勵或懲罰對行為的影響。,答錯了。這不是認知或建構主義。想想巴夫洛夫的狗。,想想透過獎勵貼紙來改變學生行為的理論。
將遊戲元素（如積分、排行榜）應用於非遊戲情境（如課堂教學）中，稱為什麼？,遊戲化,正確！遊戲化 (Gamification) 是提取遊戲的機制來提升動機，而非直接使用一款完整的遊戲。,不對喔。這不是「遊戲式學習」(Game-based Learning)，而是只取其元素。,重點在於「化」，將原本不是遊戲的東西加上遊戲的特徵。
在 Bloom 的認知領域教育目標分類修訂版中，最高階層的能力是什麼？,創造,太棒了！修訂版將「創造 (Creating)」視為最高層次，代表能產出新的觀點或產品。,答錯了。舊版最高是評鑑，但修訂版把它往下降了一級。,這代表學生能夠將所學重組，產出一個全新的東西。
在教學發展過程中進行，目的是為了修改與改進教材的評鑑方式稱為什麼？,形成性評鑑,正確答案！形成性評鑑 (Formative Evaluation) 就像廚師在做菜過程中試味道。,不對。期末打分數那是「總結性評鑑」。,發生在「過程」之中，為了讓結果更好。
數位學習管理系統 (如 Moodle, Canvas) 的常見英文縮寫是什麼？,LMS,Correct! LMS 代表 Learning Management System。,答錯了。CMS 通常是指內容管理系統 (如 WordPress)。,開頭是 Learning，結尾是 System 的三個字母縮寫。
根據 Mayer 的多媒體學習理論，解說的文字與對應的圖片應該同時呈現，這稱為「時間什麼原則」？,鄰近,答對了！時間鄰近原則 (Temporal Contiguity Principle) 強調資訊需同時呈現以減少認知負荷。,不對喔。重點是它們在時間上要靠得很近。,兩個字，表示時間上非常接近。
維高斯基 (Vygotsky) 提出的 ZPD 概念中，教師提供的輔助被比喻為什麼？,鷹架,完全正確！鷹架 (Scaffolding) 支持學習者跨越現有能力，完成更高難度的任務。,答錯了。不是梯子或橋樑喔。,想像在蓋房子時搭的架子，幫助工人到達更高的地方。
學習者可以彈性安排時間，隨時隨地觀看預錄影片學習，屬於同步還是非同步教學？,非同步,答對了！非同步教學 (Asynchronous Learning) 提供了最大的時空彈性。,不對喔。同步需要大家同時在線上。,不需要大家準時在同一個時間上線的模式。